TLD	Registration Price	Renewal Price	Minimum Term
.red	$5.99 per year	$17.99 per year	1 Year
.rehab	$32.99 per year	$32.99 per year	1 Year
.reisen	$16.99 per year	$21.99 per year	1 Year
.rent	$19.99 per year	$69.99 per year	1 Year
.rentals	$6.99 per year	$33.99 per year	1 Year
.repair	$6.99 per year	$33.99 per year	1 Year
.report	$6.99 per year	$22.99 per year	1 Year
.republican	$26.99 per year	$33.99 per year	1 Year
.rest	$32.99 per year	$32.99 per year	1 Year
.restaurant	$13.99 per year	$56.99 per year	1 Year
.review	$6.99 per year	$8.99 per year	1 Year
.reviews	$19.99 per year	$25.99 per year	1 Year
.rip	$15.99 per year	$19.99 per year	1 Year
.ro	$89.99 per year	$89.99 per year	1 Year
.rocks	$2.99 per year	$14.99 per year	1 Year
.rodeo	$6.99 per year	$8.99 per year	1 Year
.ru	$28.99 per year	$28.99 per year	1 Year
.run	$3.99 per year	$21.99 per year	1 Year
.sale	$6.99 per year	$30.99 per year	1 Year
.sarl	$33.99 per year	$33.99 per year	1 Year
.sc	$119.99 per year	$119.99 per year	1 Year
.school	$13.99 per year	$34.99 per year	1 Year
.schule	$16.99 per year	$21.99 per year	1 Year
.science	$6.99 per year	$8.99 per year	1 Year
.se	$49.99 per year	$49.99 per year	1 Year
.security	$2600.99 per year	$2600.99 per year	1 Year
.services	$6.99 per year	$33.99 per year	1 Year
.sexy	$8.99 per year	$35.99 per year	1 Year
.sg	$59.99 per year	$59.99 per year	1 Year
.shiksha	$17.99 per year	$17.99 per year	1 Year
.shoes	$26.99 per year	$48.99 per year	1 Year
.shop	$34.99 per year	$34.99 per year	1 Year
.shopping	$26.99 per year	$29.99 per year	1 Year
.show	$7.00 per year	$33.99 per year	1 Year
.si	$32.99 per year	$32.99 per year	1 Year
.singles	$6.99 per year	$33.99 per year	1 Year
.site	$4.99 per year	$24.99 per year	1 Year
.ski	$13.99 per year	$43.99 per year	1 Year
.soccer	$21.99 per year	$21.99 per year	1 Year
.social	$6.99 per year	$33.99 per year	1 Year
.software	$13.99 per year	$33.99 per year	1 Year
.solar	$45.99 per year	$45.99 per year	1 Year
.solutions	$8.99 per year	$21.99 per year	1 Year
.soy	$30.99 per year	$30.99 per year	1 Year
